id;country_code;country;city_code;city;district_code;district;county_code;county;neighborhood_code;neighborhood;shipment_code;shipment;village_code;village;street_code;street;building_code;building_number;building;building_free;independent_parts_code;independent_parts;independent_parts_free;postal_code;status_id
1;PF;Italy;CFP Franc Human Versatile;Nyaland;hacking Home Loan Account secured line;networks experiences Sports;withdrawal;Architect South Dakota JSON;supply-chains Corporate;Mandatory Berkshire;Buckinghamshire;methodical;Producer;Chair;bypass Developer;Little Estate;platforms;index indexing;invoice China;generating Guyana Dollar;Incredible capacitor Grove;hacking;interactive;navigate Skyway orchid;88806
2;NO;Romania;Alaska;East Maximillian;synthesizing;National National Avon;Orchestrator calculating;Shoes;SCSI Rustic Cotton Shoes systemic;Savings Account Cayman Islands Dollar Canada;withdrawal object-oriented USB;National;calculating Awesome Fresh Chips invoice;quantify blue motivating;Auto Loan Account Administrator Luxembourg;Lind Port;Industrial Identity;calculate Credit Card Account calculating;calculate;multi-tasking Tasty;time-frame;evolve Architect;Gloves Metal Rubber;Orchestrator Personal Loan Account fuchsia;68844
3;ES;Czech Republic;firewall;West Chelseyhaven;Grass-roots compelling;generating purple;alarm;systematic Montana Gorgeous Plastic Car;compressing primary;compelling withdrawal task-force;national;invoice back up implement;invoice;Forward;asynchronous;Russel Stravenue;Practical Frozen;Tasty Plastic Salad Rustic Soft Tuna olive;Awesome Steel Table;Handcrafted Soft Shirt Checking Account;sensor Awesome;mint green Shoes;Self-enabling Chicken Money Market Account;override SDD;33282
4;IQ;Christmas Island;Implemented;South Markus;Sausages;methodologies local Intelligent Granite Gloves;24 hour cross-platform;back up auxiliary;Baby Industrial;USB El Salvador solid state;Ergonomic Fresh Computer;payment Tunisian Dinar;infomediaries integrated Balanced;white Streets;Sleek;Murray Rue;North Dakota;Practical;Landing web-enabled THX;infomediaries open architecture North Dakota;Bulgaria Branding;Program;Wells pixel primary;olive Vermont Syrian Pound;80542
5;BA;Lithuania;International;New Ashleeport;Springs Steel Borders;Home Loan Account;compress Designer;application;Practical;Savings Account;Manager open-source;analyzing JSON withdrawal;Chicken index;New Mexico;Refined Wooden Soap Auto Loan Account salmon;Hoppe Highway;compressing FTP;transmitter Integrated Tuna;Pennsylvania matrix;Division;solid state Dynamic Savings Account;Barbados Dollar;backing up;index;34033
6;RO;Saint Lucia;synthesize Berkshire;Lake Reidmouth;Bedfordshire;Northern Mariana Islands Saint Barthelemy withdrawal;indigo invoice Gloves;Avon;Rustic Steel Ball backing up;Handmade Handcrafted Fresh Pants;synthesizing;payment Checking Account;mobile;firewall;Unbranded;Volkman Extensions;integrate orchid;Baht infomediaries;Music;CSS;Networked Dalasi world-class;invoice;Soft Liberia;Loaf Sleek;80684
7;CA;Cyprus;matrix red;Devintown;auxiliary Sharable Toys;indigo;foreground Awesome;Bahamas Soft;driver Awesome;Plastic portals Square;hub;Practical Concrete Towels Towels dot-com;Refined Cotton Salad Kenyan Shilling;Handmade utilize;architecture solid state transition;Cole Turnpike;salmon;Plastic Home;turquoise SCSI Metrics;AI Ergonomic;AGP Gibraltar Pound;parse evolve Regional;Enhanced XML transform;Borders;65154
8;CW;Madagascar;Cotton;East Carleystad;Soft;incubate;Bond Markets Units European Composite Unit (EURCO) content-based;tan Unbranded Rubber Computer Metal;Adaptive Licensed Steel Table Handmade;navigating;Awesome Officer Place;Identity enable Direct;SAS infomediaries Chair;Borders Sleek Steel Chips;Investment Account Ghana;Wolff Highway;Auto Loan Account Awesome Concrete Soap Soft;invoice IB;Metrics expedite;Clothing;Team-oriented;Colorado Cambridgeshire;PCI Chicken;overriding invoice connect;79468
9;LR;Estonia;open architecture support;Schultzhaven;Alabama program;synthesizing firewall;cohesive;Producer AI 1080p;Home open system emulation;Illinois;Saint Vincent and the Grenadines;transmit;programming deliver;indexing groupware Germany;Administrator Investor Fish;Vanessa Light;Architect;Incredible benchmark Kuwaiti Dinar;quantify Iceland Identity;Compatible;Aruban Guilder access;Fantastic;online Handcrafted;seize architectures Movies;29339
10;BW;Sweden;dedicated Metrics Customer;Eleazarfort;optical asynchronous Central;purple Auto Loan Account;withdrawal online;Gorgeous;Music Buckinghamshire focus group;reboot redundant;open-source Burg;Coordinator Sao Tome and Principe Togo;homogeneous generating;navigate Lead navigate;Legacy;Wuckert Stravenue;Steel;Bangladesh;success;Portugal;haptic Pennsylvania user-facing;bypass;Incredible Fresh Salad extensible payment;Optimization Gorgeous;85192
